recipe_id,heat_process,yield
7T5G,Unknown,97.12
59P4,Unknown,99.34
D95R,Unknown,91.95
9W8R,20°C for 60 min,97.79
72WJ,Unknown,90.86
VAMB,70°C for 10 min,99.25
WHBC,Unknown,98.46
POY8,Unknown,99.04
A0KE,Unknown,96.76
3KE1,50°C for 10 min,99.43
RCUZ,Unknown,94.45
B2ON,Unknown,99.9
ID4M,Unknown,92.84
FTRT,Unknown,98.34
MEQV,50°C for 10 min,92.14
MM63,70°C for 10 min,98.86
5670,Unknown,98.71
X7H4,Unknown,95.48
6F5O,70°C for 10 min,99.07
J8F5,Unknown,80.11
VPC6,70°C for 10 min,92.4
GL1Y,Unknown,99.93
R6Y9,Unknown,95.04
QKJV,50°C for 10 min,92.67
U4EN,Unknown,99.81
2JG4,Unknown,99.6
FH8C,Unknown,92.82
0FNT,Unknown,75.5
KPMV,Unknown,98.07
6CEI,Unknown,92.7
7NNE,Freezing for 20 min,98.63
I52Z,Unknown,95.69
PXC0,20°C for 60 min,97.28
RJEN,70°C for 10 min,95.46
G56F,Unknown,91.79
1KO9,Unknown,96.75
CH56,Unknown,95.6
R3Z7,Unknown,90.57
U8EP,50°C for 10 min,97.7
MU5W,20°C for 60 min,90.2
LLW1,20°C for 60 min,97.6
91KM,70°C for 10 min,36.46
GT85,50°C for 10 min,94.89
FND6,Freezing for 20 min,95.51
DIN9,Unknown,94.32
5INH,Unknown,93.88
XXD8,Unknown,98.86
KWGY,Unknown,98.96
K4OF,Freezing for 20 min,90.23
7TXQ,Freezing for 20 min,91.27
0KE1,Unknown,95.61
RMD0,Unknown,96.07
GQ4R,Unknown,94.19
RYAR,Unknown,97.52
53HR,Unknown,94.48
3TOE,Unknown,94.21
Q5SW,Unknown,91.88
AMPK,Unknown,94.28
1Z2Z,Steaming,96.87
LHCI,Unknown,92.46
2HU3,50°C for 10 min,90.07
39YW,Unknown,99.89
R1S6,Unknown,95.78
IJJ8,Unknown,91.08
SKXV,Unknown,94.18
M3VK,Unknown,91.49
0B8W,Unknown,98.35
NDTZ,Unknown,93.19
M4WD,Unknown,95.66
AVEH,70°C for 10 min,99.13
KMMR,Unknown,97.88
DQHB,50°C for 10 min,95.14
CJUW,Unknown,97.94
VGYD,Unknown,91.05
CPRW,Unknown,90.23
YIN4,Unknown,97.14
8IMH,Unknown,98.73
N699,Freezing for 20 min,95.33
URPI,50°C for 10 min,90.35
JAQ8,Unknown,93.18
29E6,Freezing for 20 min,97.29
H00X,Unknown,92.49
SKTU,Unknown,91.61
CZBJ,Unknown,98.51
EI03,Unknown,97.17
NK4N,Unknown,93.24
584D,70°C for 10 min,92.91
JQS5,Steaming,95.46
N9NP,Freezing for 20 min,35.33
07WP,50°C for 10 min,90.09
3T6B,Unknown,97.51
1IQT,Unknown,98.81
KO77,20°C for 60 min,98.12
EJS5,Unknown,93.53
E0N2,20°C for 60 min,96.11
1VBT,Unknown,91.86
V09E,Freezing for 20 min,96.75
OW4T,Unknown,91.61
N500,Unknown,92.29
8RT8,70°C for 10 min,98.9
39VG,Steaming,82.94
LK7O,Unknown,26.76
5E56,70°C for 10 min,38.83
QO2T,Unknown,98.46
E3VD,Unknown,90.19
XT2G,Unknown,91.24
2QRY,20°C for 60 min,97.17
IZ32,50°C for 10 min,92.78
RQE8,Unknown,91.84
BS54,Unknown,51.61
SX37,Unknown,90.85
QV8Z,Unknown,62.45
0JF3,Unknown,94.06
MQOH,Unknown,98.2
XF2X,Unknown,91.89
FT2I,Unknown,44.81
PBE4,Unknown,95.05
IMJF,20°C for 60 min,96.16
9G11,Unknown,27.49
1EXJ,Unknown,22.61
ZOKW,Unknown,93.71
KTMX,Unknown,99.52
RHYP,Unknown,35.49
U3B4,Unknown,91.44
R64Q,Unknown,99.82
V07I,Unknown,95.12
1KW8,Unknown,99.79
8ADJ,Unknown,99.72
8WS2,Unknown,95.29
MN70,Unknown,95.96
T4H9,Unknown,99.92
SZPU,Unknown,96.01
IMJP,Unknown,98.01
A8G1,20°C for 60 min,92.53
YUIM,Unknown,96.52
NDEB,Unknown,97.76
8SRP,70°C for 10 min,93.97
ON5C,Unknown,99.24
ZP1T,50°C for 10 min,95.5
C9W4,Unknown,94.0
RDS5,Unknown,96.85
W5Y3,Unknown,97.5
W11J,Unknown,99.49
MJ3D,Unknown,97.43
F5H0,20°C for 60 min,93.83
E705,Unknown,97.14
ZB2Y,Unknown,96.96
VX0M,Unknown,90.96
30E5,Unknown,95.94
6MC6,Unknown,90.55
3JQD,Freezing for 20 min,91.72
Q71V,Unknown,94.46
9MLJ,50°C for 10 min,91.32
DPWV,Unknown,20.19
66D3,Freezing for 20 min,35.76
X6C4,Unknown,71.69
FZ03,Unknown,98.96
S9EB,Unknown,89.19
BYXN,Steaming,88.68
4V0E,Unknown,71.74
OJST,Freezing for 20 min,90.14
VZKP,Steaming,54.25
S153,Steaming,98.25
X5DH,Freezing for 20 min,92.23
6R18,Unknown,85.24
PIV2,Unknown,92.95
L0CY,Unknown,99.7
WL5O,Freezing for 20 min,96.9
RB94,20°C for 60 min,95.22
E65A,Steaming,91.3
T6UP,Unknown,96.94
WC2Z,Steaming,98.28
HHFW,Unknown,97.03
9UBQ,50°C for 10 min,73.34
IWWO,Unknown,96.04
K8V4,Unknown,90.1
NGJG,70°C for 10 min,91.82
LO0C,Unknown,97.74
13LM,70°C for 10 min,99.65
QK2H,Unknown,95.87
TU3O,20°C for 60 min,98.36
6RTY,Unknown,97.95
Y7PN,Unknown,90.48
7PMN,20°C for 60 min,92.83
RD0K,Freezing for 20 min,93.8
FDBO,70°C for 10 min,92.74
Z616,Unknown,92.27
RP9C,Freezing for 20 min,99.69
4U9A,Unknown,92.98
DZ8G,Steaming,97.29
ZTOG,Unknown,51.88
9SJ2,Unknown,91.29
NNH7,Unknown,97.24
373P,Unknown,96.37
I853,20°C for 60 min,92.76
XFVE,Unknown,94.78
KK0B,Unknown,93.09
8J4A,Unknown,93.26
DEFU,Unknown,92.67
UUS9,Unknown,95.37
6SUU,Unknown,99.28
XZCG,Unknown,99.8
SU0T,Unknown,98.59
AELZ,20°C for 60 min,82.73
58L3,20°C for 60 min,91.22
PGG1,Steaming,97.95
90UR,Unknown,96.25
JF8F,Unknown,94.23
BGLQ,Unknown,93.59
3M7L,Unknown,79.52
QEHM,Unknown,97.04
RHWV,Steaming,36.4
8K4W,Unknown,92.85
JV33,Unknown,98.34
TPCL,Unknown,95.03
4YVN,Unknown,90.62
2FNX,Unknown,98.38
S348,Unknown,95.44
GKCA,20°C for 60 min,91.77
D8S2,Unknown,95.03
CK8U,Unknown,52.62
P25L,Unknown,95.44
WUL7,Unknown,98.88
F5H8,20°C for 60 min,91.48
SUPB,Unknown,90.13
BS8M,Unknown,90.79
T47R,Unknown,97.46
8YDB,Steaming,81.82
JZUD,Unknown,95.2
0GAY,Unknown,95.58
RZMV,50°C for 10 min,98.68
K6DW,Unknown,90.93
K22G,Unknown,94.28
OQ17,Unknown,99.47
VPNM,70°C for 10 min,93.12
5ZRI,Unknown,92.47
1XO8,Freezing for 20 min,90.72
C6ZP,Unknown,94.95
DOAL,70°C for 10 min,92.56
UZBI,Unknown,96.33
J6HZ,70°C for 10 min,68.98
ILPB,70°C for 10 min,97.21
P3ZQ,Unknown,93.34
PVSA,Unknown,99.49
4DQP,Unknown,91.99
8866,Steaming,93.0
PXAD,Unknown,99.57
7ZMQ,Unknown,95.92
DWXY,70°C for 10 min,98.18
DEST,Unknown,91.28
87WE,Unknown,84.97
PYI6,Unknown,98.15
TS3W,70°C for 10 min,99.31
CS8S,Unknown,98.21
OA14,Unknown,32.04
RJLD,Unknown,95.48
572P,70°C for 10 min,90.91
JERC,Freezing for 20 min,91.14
UNKZ,50°C for 10 min,97.88
31C9,Unknown,92.41
CLC7,50°C for 10 min,96.78
2IM7,20°C for 60 min,93.26
UMRT,Unknown,93.02
E9KA,Unknown,91.83
74LX,Unknown,99.94
46DC,50°C for 10 min,96.03
81CI,50°C for 10 min,99.32
E90Q,20°C for 60 min,92.99
2OT3,Unknown,90.6
6P0W,50°C for 10 min,99.69
IIWA,Unknown,96.03
HJKF,Unknown,90.99
QRD6,Freezing for 20 min,90.28
X4P9,Unknown,95.09
BNX7,70°C for 10 min,90.9
JNW9,Steaming,90.79
VBX9,Unknown,97.69
FV01,Unknown,91.04
G8QF,Unknown,95.79
8V1S,Freezing for 20 min,93.03
KNLB,70°C for 10 min,94.95
8UK4,Unknown,98.55
41U3,Unknown,92.52
ORHN,Unknown,91.24
KKK1,Unknown,97.51
ZRH3,Steaming,50.84
PKAK,Unknown,97.51
G6LK,Freezing for 20 min,95.64
LE9R,Unknown,51.12
J0YO,Unknown,91.01
M7BE,Steaming,97.2
WTZ1,Unknown,92.43
F1F7,Unknown,73.95
W3TD,Unknown,90.14
S2OQ,Unknown,95.65
A9P9,Freezing for 20 min,91.93
DF52,Unknown,92.28
YCSS,Unknown,69.64
XEJU,Steaming,96.9
0LQW,Unknown,92.43
938V,Steaming,87.32
W4JJ,Unknown,90.13
Y3GE,20°C for 60 min,95.72
3QKO,Unknown,90.94
X3FM,Unknown,90.32
L6ZT,Unknown,90.14
TXYQ,Unknown,97.37
0XYR,20°C for 60 min,91.39
B5IO,Unknown,99.21
7J3X,Unknown,98.48
32IW,Unknown,98.8
XH4I,Unknown,98.65
5RRN,Unknown,93.35
FN7R,20°C for 60 min,98.65
W89U,Unknown,98.42
BN7Q,Freezing for 20 min,98.17
5DAR,Unknown,94.63
57YS,20°C for 60 min,92.39
6FG1,50°C for 10 min,95.9
4OWB,Unknown,68.52
XB78,Freezing for 20 min,95.04
DDG3,Freezing for 20 min,96.93
D40V,Unknown,93.69
G2D2,50°C for 10 min,98.0
TZDA,Unknown,94.94
X4CJ,Unknown,98.56
EZKI,Unknown,98.83
DIWI,Unknown,95.6
RERU,70°C for 10 min,96.91
REUO,Unknown,98.98
IPCY,Freezing for 20 min,90.9
27PE,Unknown,97.03
YSRP,Unknown,92.96
DEIS,Unknown,94.37
RVCV,Unknown,73.66
JX01,Unknown,90.91
0P2B,Unknown,94.77
U07G,Freezing for 20 min,93.27
6Z3V,Unknown,45.54
WOBZ,Unknown,95.08
9RLP,Unknown,97.81
40K0,Unknown,99.84
TCKB,Unknown,93.28
8XAX,Unknown,96.78
9GSC,20°C for 60 min,32.05
DCLF,Unknown,90.33
L8LF,50°C for 10 min,96.6
U3VS,Unknown,92.8
OLOX,Unknown,99.1
LXSJ,Unknown,93.95
NTGX,70°C for 10 min,96.33
1BOL,Unknown,93.17
RFMQ,Unknown,92.85
862M,Unknown,98.37
BY3H,Unknown,90.78
XKWR,Freezing for 20 min,91.95
ISRZ,Unknown,95.43
UMRB,70°C for 10 min,99.6
1Z4X,Unknown,95.66
JC73,20°C for 60 min,93.79
XCE8,Unknown,41.81
3DET,Unknown,93.72
HBD8,Unknown,51.58
1GS3,70°C for 10 min,83.06
6FRS,Unknown,98.2
HX68,Unknown,91.61
KN6H,50°C for 10 min,21.9
PYOD,20°C for 60 min,98.0
O72N,Freezing for 20 min,93.92
IQQV,Unknown,94.07
CH2V,Unknown,90.75
BGWR,Unknown,98.25
3RFL,Unknown,99.08
SVWL,Unknown,95.72
ETST,Freezing for 20 min,97.25
S03X,Unknown,99.49
I6Y1,Unknown,92.02
JLOY,Unknown,92.2
PPDG,Unknown,91.54
03G1,Freezing for 20 min,98.96
N5AC,Unknown,98.2
LCK1,Freezing for 20 min,91.27
Y1KE,Freezing for 20 min,96.08
5RQY,Unknown,99.74
8KFS,Unknown,92.03
4NZ7,Unknown,95.04
0F5R,Unknown,92.47
LPEF,Unknown,93.62
BOJ1,Unknown,92.87
I74Y,Unknown,92.7
E3X1,Unknown,92.01
A179,Unknown,94.5
FCAW,50°C for 10 min,99.49
1MYU,Unknown,92.66
N5B4,Unknown,96.7
Q007,Unknown,98.33
OD7O,70°C for 10 min,90.93
3AHR,Unknown,90.49
4X1J,Unknown,94.41
9AT8,70°C for 10 min,95.75
F1VA,Unknown,91.62
R6CM,Unknown,91.1
3E67,Steaming,90.75
DMM8,Freezing for 20 min,97.99
D4FM,Unknown,92.68
62LD,50°C for 10 min,92.71
8HSU,Freezing for 20 min,57.87
VEDD,Unknown,98.59
EMGL,Unknown,96.78
II84,Unknown,99.06
7E2G,Steaming,90.88
OKWQ,Unknown,98.79
L799,Freezing for 20 min,95.69
45TU,Steaming,92.78
RT7T,Unknown,96.67
BT5J,Freezing for 20 min,85.61
A68Z,50°C for 10 min,94.27
S0PZ,Unknown,94.16
QE0T,Unknown,92.95
4SV3,Steaming,99.38
4V78,Unknown,97.42
XBJP,Unknown,76.76
HXC3,Unknown,90.82
7ZFN,Freezing for 20 min,95.7
GB4L,Unknown,90.98
65BL,Freezing for 20 min,99.08
VUTL,Unknown,97.04
FQ35,20°C for 60 min,99.26
KKUL,70°C for 10 min,91.62
QHFC,Unknown,90.31
RQDY,50°C for 10 min,99.05
L7GF,Unknown,99.76
HNJI,Unknown,90.08
3301,Unknown,98.03
95LZ,Unknown,93.65
WOW8,Steaming,76.38
YRZB,Unknown,98.22
H6NJ,Steaming,98.48
9AAE,Steaming,99.24
ZDPO,Unknown,98.81
7JQ0,70°C for 10 min,54.0
IPHD,Unknown,52.93
DJY3,Unknown,97.92
EQ0O,70°C for 10 min,76.73
4H4X,50°C for 10 min,99.08
I11Z,Unknown,92.39
CUG1,Unknown,95.09
9R1V,Unknown,99.74
EC5W,50°C for 10 min,95.71
CN22,70°C for 10 min,56.51
6J9B,Unknown,95.58
WF3H,Unknown,90.67
5NX1,50°C for 10 min,97.12
02Q7,Unknown,99.02
8SX1,Unknown,99.57
CCEB,Unknown,97.5
PDFC,Unknown,93.47
FXT2,Steaming,73.62
BLFE,Unknown,91.61
L4UZ,Unknown,95.42
WK82,Unknown,96.0
EGVC,Unknown,90.85
9QV2,Unknown,97.48
NFC3,Steaming,94.07
ZUMX,Unknown,92.68
2PVE,Unknown,47.65
C869,Unknown,98.9
T20E,Unknown,67.55
5C6Q,Steaming,98.29
YB11,70°C for 10 min,96.5
6A68,50°C for 10 min,96.73
QWRC,Unknown,97.34
EACX,Unknown,44.77
X4TW,50°C for 10 min,99.1
UQAU,Unknown,99.14
4IHV,Unknown,91.94
GGEA,Unknown,90.09
R2Y9,Unknown,92.79
T1HB,Unknown,99.42
2VW0,Unknown,67.55
V4OA,Freezing for 20 min,97.79
JUDE,Steaming,90.96
YF07,Unknown,92.71
MZWZ,Unknown,90.34
BW7J,Unknown,97.33
FY0P,20°C for 60 min,95.71
E4DC,Unknown,96.78
0O91,20°C for 60 min,94.32
AO1X,Unknown,91.96
09WL,Steaming,51.09
IHHO,Unknown,95.57
YH1S,20°C for 60 min,94.39
RYLK,Unknown,97.5
F0AK,Unknown,90.84
JYMN,20°C for 60 min,97.44
H8A2,Unknown,95.05
IAOU,Unknown,90.45
QED6,Unknown,91.23
CNAY,Unknown,95.63
1EVK,Freezing for 20 min,95.67
FSWG,Unknown,96.49
2L0D,Unknown,95.24
9OEK,Unknown,46.44
PF34,Steaming,95.3
KSLD,Freezing for 20 min,78.05
MC6J,Unknown,93.71
YNZ9,Unknown,91.16
P3EH,Unknown,95.11
VHWS,Unknown,93.64
BUGG,Unknown,98.94
LKDN,Unknown,94.63
CLA5,Unknown,90.82
3WY6,Unknown,43.4
XU17,70°C for 10 min,95.51
XH6S,Unknown,92.68
JBRZ,Freezing for 20 min,93.4
VBW2,Unknown,34.08
0JKG,70°C for 10 min,91.07
B5NX,Unknown,50.51
765R,Unknown,96.37
VQSA,Unknown,98.22
7ABL,Unknown,97.43
MEP7,Unknown,92.11
6OG1,70°C for 10 min,96.89
9GK3,Unknown,96.57
ROCR,70°C for 10 min,99.61
I0PA,50°C for 10 min,93.02
EILF,Unknown,32.52
GL9Y,Unknown,67.98
7AXV,50°C for 10 min,93.19
WJA6,50°C for 10 min,97.6
RGC7,Unknown,94.74
GP2M,Unknown,97.08
DPEA,Unknown,90.87
Q7JX,Unknown,93.2
615P,Unknown,91.7
KVUB,70°C for 10 min,91.37
LAT0,Unknown,98.95
YDET,Unknown,97.54
3CQ4,Unknown,97.41
XO4G,Unknown,90.92
G8CQ,Steaming,99.83
H305,Unknown,94.18
QHCU,Unknown,98.67
4OFN,70°C for 10 min,94.89
TRE8,Unknown,98.15
WZ88,Unknown,96.06
6RC8,50°C for 10 min,97.17
DGOL,Unknown,93.68
P0A7,Freezing for 20 min,99.68
6NAK,Unknown,97.42
LC1D,Unknown,96.43
GSSG,Unknown,94.29
QEQ0,Unknown,92.93
MVG0,Unknown,99.47
UZPI,Unknown,76.52
MKVN,20°C for 60 min,90.62
09RQ,Unknown,95.33
AA6X,Unknown,93.02
JNZZ,50°C for 10 min,94.8
WE0I,Unknown,50.58
3NAU,Unknown,97.97
6RVG,Unknown,93.22
1YF9,Unknown,90.27
ASRG,Unknown,95.86
3FWY,Unknown,91.74
SQYE,Unknown,91.34
ST24,Unknown,98.24
MZZJ,Unknown,97.77
2YF1,Unknown,96.07
J9ED,Unknown,99.27
44RB,Unknown,96.74
RJ0T,Unknown,98.37
Z87O,Unknown,95.81
65FQ,Unknown,73.69
SBE3,Freezing for 20 min,99.77
7Q36,Unknown,90.08
H761,Unknown,55.59
QUDI,Unknown,90.35
X8YD,Freezing for 20 min,98.22
3RT0,Unknown,92.57
W4YB,50°C for 10 min,59.59
D4Y5,Steaming,99.2
4OD2,Unknown,91.68
L81B,Unknown,98.65
R4WD,Freezing for 20 min,91.1
CAW6,Steaming,95.99
9A96,50°C for 10 min,98.72
9Z4Q,Unknown,96.69
5TL6,Unknown,35.04
3J9B,50°C for 10 min,92.82
M9LO,Unknown,95.69
AZNU,Unknown,90.67
RO9L,Unknown,98.12
J4N6,Unknown,93.34
TY1Y,Steaming,91.81
RCSK,Freezing for 20 min,99.19
J1US,Unknown,98.97
RE5V,Unknown,93.96
558L,Unknown,99.85
8RUQ,50°C for 10 min,94.76
RTRW,Freezing for 20 min,93.86
802X,Steaming,68.05
KKY4,Unknown,97.02
2T8F,Unknown,96.07
37R2,Unknown,95.03
MVNW,Unknown,92.26
MJK9,Unknown,96.08
0YTG,20°C for 60 min,96.18
377E,Freezing for 20 min,95.59
UDLI,Steaming,91.07
C8EP,Unknown,98.78
AMB0,Unknown,95.87
NIWO,Unknown,93.01
YXDU,70°C for 10 min,90.81
KGF4,70°C for 10 min,92.07
H6BK,Freezing for 20 min,94.63
KZ74,Unknown,97.4
10DT,Unknown,95.77
79E0,Unknown,92.84
XLKW,70°C for 10 min,83.39
AFZG,Unknown,91.33
J04X,70°C for 10 min,95.6
Y0GS,Unknown,93.47
NLL1,50°C for 10 min,97.62
N1TH,Unknown,91.79
BOOH,20°C for 60 min,97.7
7148,Unknown,95.1
A0S6,Unknown,90.02
2RTG,Unknown,96.09
F5YV,Unknown,95.64
60N5,Unknown,95.18
9233,Unknown,90.15
DDII,Freezing for 20 min,97.27
B6YP,Unknown,90.23
FBJU,Unknown,98.86
XEGU,Unknown,91.15
CZZ9,Freezing for 20 min,29.91
L1E5,50°C for 10 min,92.3
YIMX,Unknown,97.62
PB0W,Unknown,99.74
K1PA,Unknown,94.43
B4LN,Unknown,94.73
VSLB,Unknown,93.8
NGD9,Unknown,96.26
QNRN,20°C for 60 min,98.29
QLTK,Unknown,91.37
F7XD,Unknown,97.4
IXJP,Unknown,99.27
FEUA,20°C for 60 min,87.7
MN98,Steaming,93.3
KXX9,Unknown,65.66
XNJJ,Unknown,91.02
GZQX,Unknown,91.6
IKI9,Unknown,92.27
4YSS,Unknown,90.83
MY0Q,70°C for 10 min,52.75
GDVU,20°C for 60 min,96.6
3UNX,Unknown,44.08
0MTV,Unknown,95.84
RXIH,Unknown,99.35
RLZ0,Unknown,94.7
KHPC,Unknown,94.03
63EM,20°C for 60 min,93.51
GTYX,Unknown,95.17
3L9D,Unknown,97.91
NU4O,Unknown,98.72
CDB4,Unknown,97.33
R0I9,70°C for 10 min,93.42
BGZB,50°C for 10 min,98.08
UZGR,Freezing for 20 min,94.57
1Y9J,Unknown,93.01
C3CG,Unknown,90.21
HRCN,Unknown,94.63
R13N,Unknown,99.06
FMP8,Unknown,96.95
2CRX,Unknown,67.96
MMFM,Unknown,97.65
8F7Y,Unknown,69.27
M4YD,Unknown,90.58
RMPA,Unknown,93.68
2FFO,Unknown,99.26
AJO1,Freezing for 20 min,93.39
SKGA,Unknown,93.75
OGUB,Unknown,92.3
IG32,70°C for 10 min,97.79
A7CG,Unknown,94.7
H9PQ,70°C for 10 min,94.15
J9Z2,Unknown,91.24
MPRT,Unknown,96.73
VECF,Unknown,98.6
JH8Z,Unknown,95.97
8G4M,Unknown,94.9
FDXX,Unknown,94.83
IBHR,Unknown,95.63
5ISC,Unknown,99.3
OAKS,Unknown,48.42
4DRX,Unknown,96.67
0U0T,Freezing for 20 min,66.19
66SW,Steaming,95.65
0U4D,50°C for 10 min,92.95
EGOJ,Unknown,62.98
K48V,Unknown,99.51
QJXM,Unknown,96.9
CVWS,20°C for 60 min,99.11
EWFM,20°C for 60 min,96.22
KELM,Unknown,94.05
P0TX,Freezing for 20 min,99.1
ID6G,50°C for 10 min,90.86
ECOC,50°C for 10 min,92.47
O65U,Unknown,76.53
IELR,Unknown,92.32
BPSO,Unknown,99.46
UWPK,Unknown,98.78
ZOBX,Unknown,97.16
BWMJ,50°C for 10 min,90.96
5SD1,50°C for 10 min,70.42
5W9X,Unknown,93.0
13HI,Steaming,90.34
975R,Steaming,96.63
RBYA,Unknown,96.71
8QSR,Unknown,92.98
ZVMM,Unknown,98.58
A28Z,Unknown,95.18
E935,Unknown,28.35
XR3B,Unknown,99.43
JLVP,Unknown,93.07
GYPL,Unknown,99.35
ZIUA,Unknown,97.86
NJSN,50°C for 10 min,92.14
PQO1,Unknown,93.64
5W4A,Steaming,98.27
OMYQ,50°C for 10 min,99.82
JI7G,Unknown,97.88
BP7I,Unknown,93.53
NIGJ,Unknown,92.87
MIPI,Unknown,90.13
0DZ3,Unknown,94.03
HJDM,Unknown,98.89
DRYG,Unknown,98.97
IZFB,Unknown,90.35
07GT,Unknown,98.9
PFP6,Unknown,98.63
L2E6,Unknown,91.35
5I58,Unknown,95.63
1WKU,Unknown,92.63
J0KH,Unknown,53.95
LME1,50°C for 10 min,53.92
QUHM,Freezing for 20 min,99.18
W1SW,Freezing for 20 min,95.49
LH8B,Steaming,91.98
BJAJ,20°C for 60 min,94.21
Q1J7,Unknown,90.29
J3PM,Unknown,99.0
5M4D,Unknown,95.89
N1LB,70°C for 10 min,90.41
GMCJ,Unknown,94.76
QOTZ,Unknown,38.1
N75K,Unknown,98.69
CXGL,Steaming,95.21
VIY0,Unknown,91.02
Q4XL,Unknown,97.46
WP1I,70°C for 10 min,96.8
OBVB,Unknown,96.55
Y20Y,20°C for 60 min,90.51
D03A,Unknown,95.87
TXVC,70°C for 10 min,99.21
SJMX,Steaming,94.2
5W1J,Freezing for 20 min,98.72
E7X1,Unknown,92.17
7QFJ,Unknown,91.26
65UK,50°C for 10 min,99.06
HZ27,Unknown,97.01
4Y75,Unknown,99.97
GUOW,70°C for 10 min,22.24
20VA,Unknown,95.22
BUVK,Unknown,97.92
LPLV,Unknown,91.46
HK5N,Unknown,99.28
6NNI,Unknown,90.99
JQSQ,Unknown,99.82
ZYRY,Steaming,98.61
KCLC,Unknown,90.19
WYDF,Unknown,99.44
AV9J,Unknown,94.17
33A5,Unknown,94.46
VXH4,Unknown,93.68
Y2T4,70°C for 10 min,95.89
704E,20°C for 60 min,93.29
E9P5,Unknown,99.9
1476,Unknown,98.46
45ND,50°C for 10 min,90.23
I5DX,Steaming,97.59
F50W,Unknown,96.12
JLM8,Unknown,90.49
ZGGW,Unknown,33.12
GI84,Freezing for 20 min,91.34
DCRZ,Unknown,92.7
8I6U,Unknown,97.74
S10F,Unknown,97.82
8DRT,Unknown,98.47
V37O,Unknown,92.46
LQ24,Unknown,99.31
2R5C,70°C for 10 min,95.09
1FIX,Unknown,99.64
Y6L1,Unknown,96.45
NCCX,Unknown,92.51
HWA8,Freezing for 20 min,91.8
3NC6,Unknown,99.47
EMKG,Unknown,91.12
OLAE,Unknown,91.68
Z1GA,Unknown,91.07
CCXS,Unknown,93.99
GCJC,Unknown,67.26
VM0H,50°C for 10 min,93.13
LM9V,Unknown,58.99
2BNL,Freezing for 20 min,99.77
B7KA,Unknown,95.12
L1RG,Freezing for 20 min,92.81
WKQ9,Steaming,44.88
16WX,Steaming,91.76
RXG2,20°C for 60 min,91.1
XRJL,Unknown,97.86
M8Z5,50°C for 10 min,90.42
UCGP,Unknown,95.02
3POE,Freezing for 20 min,94.04
XBEP,Unknown,92.63
8ZZV,Unknown,91.34
JYW1,Unknown,92.7
VDVH,50°C for 10 min,96.72
SDRM,50°C for 10 min,97.94
3YQ4,Unknown,99.4
XN77,Freezing for 20 min,63.62
5JH3,Unknown,94.97
JL2W,Unknown,95.78
X8SN,Unknown,98.63
0OSX,Steaming,95.12
F2WW,50°C for 10 min,94.95
OMQ5,Unknown,95.38
LFK6,Unknown,96.34
0QAM,Unknown,91.41
0MX2,Steaming,96.94
3DQ6,Unknown,96.45
8B9D,Unknown,71.35
0YNA,Freezing for 20 min,31.52
FI88,Unknown,96.61
PONC,50°C for 10 min,99.16
48EV,Unknown,93.93
TPKZ,Unknown,98.52
W0HQ,Steaming,97.98
T75V,Unknown,99.86
9X9U,Unknown,92.0
CPL7,Unknown,96.75
QU7T,Unknown,98.67
90I5,50°C for 10 min,96.18
1RB4,Unknown,92.57
DPMX,Unknown,97.09
JY2K,Unknown,92.26
4VX9,Unknown,99.89
Q606,Unknown,92.24
7ROP,Unknown,99.17
ZETI,50°C for 10 min,99.42
JX11,70°C for 10 min,90.63
NOJ4,50°C for 10 min,91.34
NHTF,Unknown,95.17
SBQC,20°C for 60 min,98.31
H28X,20°C for 60 min,90.66
5GKQ,Unknown,96.06
66BK,Unknown,90.9
LR3C,Unknown,42.58
I120,70°C for 10 min,99.51
5IFL,Unknown,91.31
B89O,Unknown,91.91
2Y23,Steaming,95.84
5BQ1,Unknown,92.77
AT5V,Unknown,91.87
GWX1,Unknown,97.3
5W0A,Freezing for 20 min,92.25
78R3,Unknown,95.32
LGHJ,Freezing for 20 min,91.15
B4VM,Unknown,93.78
1BD0,Unknown,92.89
7IO6,Freezing for 20 min,95.82
X245,Unknown,97.45
NWQF,Unknown,91.93
6326,Unknown,93.08
JRVB,70°C for 10 min,99.04
3UG2,Freezing for 20 min,91.57
LKX5,70°C for 10 min,98.88
0URC,50°C for 10 min,91.44
KDR5,20°C for 60 min,93.18
44VZ,Freezing for 20 min,93.84
OG2D,Unknown,91.15
3GBM,70°C for 10 min,21.66
PPQ1,70°C for 10 min,90.58
OGH4,Unknown,93.59
S9EH,Unknown,99.91
XP4M,Unknown,96.9
5UYU,Steaming,93.15
YI6Y,20°C for 60 min,97.11
7ILA,Unknown,98.62
4VHG,20°C for 60 min,56.35
I23I,50°C for 10 min,93.83
6I2M,20°C for 60 min,93.12
MP6S,Steaming,91.52
0AYA,Freezing for 20 min,26.74
KSUG,Steaming,70.43
E6X2,50°C for 10 min,90.23
Z4SN,Unknown,92.94
NWTO,Steaming,96.38
RVXI,50°C for 10 min,90.71
JDDU,Unknown,92.5
HJ02,Unknown,90.49
UUGL,20°C for 60 min,91.47
WY09,50°C for 10 min,94.15
5VFX,Freezing for 20 min,98.48
KNX7,Unknown,93.68
44QE,20°C for 60 min,99.61
YX13,Unknown,96.1
9SD2,Freezing for 20 min,99.48
FS9E,Unknown,87.21
S9O0,Unknown,99.0
Z6G5,Unknown,99.31
9QM5,Unknown,61.75
LWSX,Unknown,97.84
1PHF,Steaming,91.35
